Brand,url,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,https://www.gsmarena.com/acer_liquid_z200-6422.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, September",130.0,126.0,65.0,130.0,10.3,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_tab_8_a1_840fhd-6424.php,No cellular connectivity, N/A,,,,No,No,,"2014, June. Released 2014, September",360.0,215.0,130.0,360.0,8.5,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_tab_7_a1_713-6343.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,"2014, April. Released 2014, August",298.0,,,298.0,8.9,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_tab_7_a1_713hd-6342.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,"2014, April. Released 2014, August",298.0,,,298.0,8.9,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_one_7_b1_730-6341.php,No cellular connectivity, N/A,,,,No,No,,"2014, April. Released 2014, June",,,,,8.9,Accelerometer
Acer,https://www.gsmarena.com/acer_liquid_e3_duo_plus-6680.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,"2014, Q3. Released 2014, Q3",,138.0,69.0,,8.9,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_e3-6116.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,"2014, February. Released 2014, April",134.0,136.0,68.0,134.0,9.0,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_z4-6115.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,"2014, February. Released 2014, April",122.0,124.0,64.0,122.0,9.7,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_iconia_b1_721-5933.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,"2014, January. Released 2014, January",323.0,199.0,122.3,323.0,11.4,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_b1_720-5932.php,No cellular connectivity, N/A,,,,No,No,,"2014, January. Released 2014, January",315.0,198.1,121.9,315.0,10.2,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_a1_830-5930.php,No cellular connectivity, N/A,,,,No,No,,"2014, January. Released 2014, March",380.0,203.0,138.4,380.0,8.2,Accelerometer
Acer,https://www.gsmarena.com/acer_liquid_z5-5929.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2014, January. Released 2014, January",150.0,145.5,73.5,150.0,8.8,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_s2-5670.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7, 20",,,,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2013, August. Released 2013, December",229.0,166.0,86.2,229.0,9.0,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_z3-5624.php,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, August. Released 2013, September",120.0,109.0,60.0,120.0,10.4,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_s1-5496.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,"2013, June. Released 2013, August",195.0,163.0,83.0,195.0,9.6,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a3-5700.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, September. Released 2013, November",560.0,260.0,175.0,560.0,10.2,"Accelerometer, gyro"
Acer,https://www.gsmarena.com/acer_iconia_tab_a1_811-5892.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,"2013, Q2. Released 2013, Q2",430.0,208.7,145.7,430.0,11.1,"Accelerometer, gyro"
Acer,https://www.gsmarena.com/acer_iconia_tab_a1_810-5399.php,No cellular connectivity, N/A,,,,No,No,,"2013, April. Released 2013, May",410.0,208.7,145.7,410.0,11.1,"Accelerometer, gyro"
Acer,https://www.gsmarena.com/acer_liquid_e2-5418.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2013, April. Released 2013, May",140.0,131.0,68.0,140.0,9.9,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_z2-5302.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2013, February. Released 2013, March",110.0,110.0,62.5,110.0,12.3,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_c1-5276.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, January. Released 2013, March",140.0,127.3,65.5,140.0,10.0,"Accelerometer, proximity"
