Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2014, January. Released 2014, January",150.0,145.5,73.5,8.8,"Accelerometer, proximity",176.34
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7, 20",,,,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2013, August. Released 2013, December",229.0,166.0,86.2,9.0,"Accelerometer, gyro, proximity, compass",340.41
Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, August. Released 2013, September",120.0,109.0,60.0,10.4,"Accelerometer, proximity",102.05
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,"2013, June. Released 2013, August",195.0,163.0,83.0,9.6,"Accelerometer, gyro, proximity, compass",322.6
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, September. Released 2013, November",560.0,260.0,175.0,10.2,"Accelerometer, gyro",190.72
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,"2013, Q2. Released 2013, Q2",430.0,208.7,145.7,11.1,"Accelerometer, gyro",152.1
Acer,No cellular connectivity, N/A,,,,No,No,,"2013, April. Released 2013, May",410.0,208.7,145.7,11.1,"Accelerometer, gyro",120.91
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2013, April. Released 2013, May",140.0,131.0,68.0,9.9,"Accelerometer, gyro, proximity, compass",182.5
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2013, February. Released 2013, March",110.0,110.0,62.5,12.3,"Accelerometer, proximity",105.72
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2013, January. Released 2013, March",140.0,127.3,65.5,10.0,"Accelerometer, proximity",183.28
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2013, January. Released 2013, March",130.0,132.0,68.5,9.9,"Accelerometer, gyro, proximity, compass",173.33
Acer,No cellular connectivity, N/A,,,,No,No,,"2013, November. Released 2013, November",339.0,198.1,129.5,12.7,Accelerometer,111.89
Acer,No cellular connectivity, N/A,,,,No,No,,"2013, January. Released 2013, January",320.0,197.4,128.5,11.3,Accelerometer,102.4
Acer,No cellular connectivity, N/A,,,,No,No,,"2012, October. Released 2012, October",390.0,193.0,126.5,11.4,"Accelerometer, gyro, compass",158.43
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 - SIM 1 only,,,,,HSPA 7.2/0.384 Mbps,"2012, October. Released 2012, October",100.0,110.0,61.5,12.3,"Accelerometer, proximity",105.83
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2012, August. Released 2012, September",145.0,129.0,65.9,9.9,"Accelerometer, proximity",165.48
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2012, July. Released 2012, September",145.0,129.0,65.9,9.9,"Accelerometer, proximity",141.54
Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2012, February. Released 2012, August",125.0,117.0,58.5,11.5,"Accelerometer, proximity, compass",126.56
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA,"2012, February. Released 2012, September",122.0,127.0,65.8,9.9,"Accelerometer, proximity, compass",221.47
Acer,No cellular connectivity, N/A,,,,No,No,,"2012, Q3. Released 2012, November",685.0,259.1,175.3,12.2,"Accelerometer, gyro",263.42
Acer,No cellular connectivity, N/A,,,,No,No,,"2012, January. Released 2012, January",700.0,260.0,175.0,12.4,"Accelerometer, gyro",208.91
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2012, January. Released 2012, July",667.0,259.8,175.0,10.9,"Accelerometer, gyro, compass",385.76
Acer,No cellular connectivity, N/A,,,,No,No,,"2012, January. Released 2012, August",665.0,259.0,175.0,11.0,"Accelerometer, gyro, compass",235.01
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2012, February. Released 2012, August",777.0,260.0,175.0,11.0,"Accelerometer, gyro, proximity, compass",256.16
Acer,No cellular connectivity, N/A,,,,No,No,,"2012, February. Released 2012, April",680.0,259.1,175.3,10.2,"Accelerometer, gyro, compass",237.59
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2011, October. Released 2011, November",126.0,116.0,59.0,13.0,"Accelerometer, proximity, compass",146.98
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2011, September. Released 2011, November",138.0,115.0,60.8,13.4,"Accelerometer, proximity",92.06
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2011, February. Released 2011, April",777.0,260.0,177.0,13.3,"Accelerometer, gyro, proximity, compass",490.29
Acer,No cellular connectivity, N/A,,,,No,No,,"2011, February. Released 2011, April",730.0,260.0,177.0,13.3,"Accelerometer, gyro, proximity",202.84
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,"2011, February. Released 2011, August",185.0,141.7,64.5,13.6,"Accelerometer, gyro, proximity",222.41
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2011, February. Released 2011, May",470.0,195.0,117.0,13.1,"Accelerometer, gyro, compass",261.9
Acer,No cellular connectivity, N/A,,,,No,No,,"2011, February. Released 2011, April",450.0,195.0,117.0,13.1,"Accelerometer, gyro, compass",108.49
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,"2011, January. Released 2011, April",108.0,110.4,57.5,13.0,"Accelerometer, proximity, compass",127.89
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2011, January. Released 2011, Q2",109.0,116.0,63.0,12.0,"Accelerometer, compass",152.83
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, December. Released 2010, December",95.0,104.5,55.8,12.8,"Accelerometer, compass",115.9
Acer,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,TD-SCDMA,"2010, October. Released 2010, Q4",130.0,118.5,58.0,13.5,Accelerometer,73.56
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 14.4/2 Mbps,"2010, October. Released 2010, November",135.0,115.0,63.0,13.5,"Accelerometer, proximity, compass",78.23
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, June. Released 2010, August",109.0,115.0,62.5,11.5,"Accelerometer, compass",94.13
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, June. Released 2010, Q3",105.0,104.5,54.0,13.2,"Accelerometer, compass",72.38
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, May. Released 2010, August",140.0,119.5,63.0,11.2,"Accelerometer, proximity, compass",132.22
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, February. Released 2010, August",135.0,115.0,62.5,12.5,"Accelerometer, proximity",95.05
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2010, February. Released 2010, May",125.0,115.0,59.3,12.0,"Accelerometer, compass",102.36
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, February. Released 2010, April",125.0,115.0,59.3,12.0,"Accelerometer, compass",85.26
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, February. Released 2010, Q2",130.0,110.0,55.0,15.1,Accelerometer,88.08
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, February. Released 2010, March",105.0,103.5,54.0,13.4,,73.59
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, October. Released 2009, December",135.0,115.0,62.5,12.5,"Accelerometer, proximity",91.97
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2009, October. Released 2009, October",130.0,118.6,63.0,12.0,"Accelerometer, proximity",218.98
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2009, October. Released 2009, October",146.0,110.0,53.5,15.4,,194.59
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2009, October. Released 2009, October",118.0,113.0,56.0,12.8,,180.82
Acer,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,"2009, October. Released 2009, October",118.0,113.0,56.0,12.8,,170.42
Acer,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,"2009, June. Released 2009, June",133.0,109.6,59.0,15.6,Accelerometer,150.99
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, February. Released 2009, June",188.0,119.0,62.0,17.1,Fingerprint (front-mounted),255.65
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, February. Released 2009, June",150.0,117.5,63.5,15.8,Accelerometer,217.13
Acer,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, February. Released 2009, April",131.0,106.4,59.0,13.7,,273.8
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1,HSDPA 850 / 1900 / 2100 - SIM 1,,,,,HSPA 7.2/0.384 Mbps,"2009, February. Released 2009, April",147.0,106.0,60.5,17.0,Accelerometer,90.57
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5031D, 5031G",,,,"HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps","2022, May 31",172.0,146.7,71.9,10.0,Accelerometer,103.43
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2021, June 25",190.0,156.4,74.8,9.7,"Fingerprint (rear-mounted), accelerometer, proximity",118.97
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2021, June 25",134.0,137.6,65.7,9.8,"Accelerometer, proximity",64.76
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2021, January 12",194.0,165.6,75.6,8.7,"Fingerprint (rear-mounted), accelerometer, proximity, compass",338.74
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2021, January 12",190.0,165.6,75.6,8.8,"Fingerprint (rear-mounted), accelerometer, proximity, compass",137.75
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2021, January 12",179.0,155.9,74.5,9.9,"Fingerprint (rear-mounted), accelerometer, proximity",110.1
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 6002A,"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 66 - 6002A",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2021, February",190.0,165.2,75.5,8.9,"Fingerprint (rear-mounted), accelerometer, proximity, compass",106.49
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, October 28",175.0,159.2,75.2,8.7,"Fingerprint (rear-mounted), accelerometer, proximity",156.14
alcatel,GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,,,"HSPA, LTE","2021, September",133.0,107.3,55.6,19.9,,47.0
alcatel,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,,,"HSPA, LTE","2019, September 19",118.0,104.9,53.1,20.1,,84.83
alcatel,GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 13",,,,"HSPA, LTE","2019, July 11",118.0,104.9,52.8,18.7,,82.4
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE","2020, Q4",475.0,243.3,161.2,9.4,"Accelerometer, proximity",175.77
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2020, June",186.0,165.0,75.0,9.1,"Fingerprint (rear-mounted), accelerometer, proximity, compass",171.0
