Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2012, February. Released 2012, Q2",123.0,119.0,58.0,123.0,11.9,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2011, July. Released 2011, July",103.0,109.3,57.0,103.0,14.0,"Accelerometer, compass"
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Yes,No,,"2011, October",93.0,70.0,70.0,93.0,16.8,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,"2011. Released 2011, November",,119.0,58.0,,12.4,"Accelerometer, proximity, compass"
alcatel,GSM,GSM 900 / 1800 ,,,,Yes,Yes,HSPA 7.2/0.384 Mbps,2011,120.0,110.0,57.4,120.0,12.4,"Accelerometer, proximity, compass"
alcatel,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 900 / 2100 ,,,,,"Yes, 384 kbps","2011, February. Released 2011, May",96.0,109.8,58.0,96.0,12.4,
alcatel,GSM / UMTS / HSPA,GSM 850 / 900 / 1800 / 1900 ,UMTS 900 / 2100 ,,,,,"Yes, 384 kbps","2011, February. Released 2011, March",102.0,112.0,61.5,102.0,12.9,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA,"2011, February. Released 2011, Q3",100.0,105.0,58.0,100.0,12.6,"Accelerometer, compass"
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 12,Class 12,,"2011, May. Released 2011, Q2",100.0,110.0,58.0,100.0,12.6,"Accelerometer, compass"
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,"2011, Q2. Released 2011, Q2",146.0,114.0,56.2,146.0,14.9,
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,"2011, Q1. Released 2011, Q2",100.0,110.5,53.4,100.0,12.3,Accelerometer
alcatel,GSM,GSM 900 / 1800 ,,,,Class 12,Class 12,,2011. Released 2011,102.0,115.0,61.1,102.0,12.9,
